i	t	Rlit
1	1	2,4
1	2	0
1	3	0
1	4	0
1	5	0
1	6	56,5
1	7	0
1	8	27,1
1	9	17,6
1	10	28,2
1	11	24,7
1	12	24,7
2	1	45,9
2	2	0
2	3	0
2	4	0
2	5	0
2	6	29,4
2	7	0
2	8	14,1
2	9	14,1
2	10	0,4
2	11	26,6
2	12	14,1
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	0
24	1	15
24	2	8
24	3	9
24	4	6
24	5	0
24	6	15
24	7	1
24	8	8
24	9	5
24	10	8
24	11	7
24	12	7
25	1	1
25	2	1
25	3	0
25	4	0
25	5	0
25	6	0
25	7	0
25	8	0
25	9	0
25	10	0
25	11	0
25	12	0
26	1	3
26	2	1
26	3	1
26	4	1
26	5	1
26	6	0
26	7	3
26	8	0
26	9	1
26	10	1
26	11	1
26	12	1
27	1	15
27	2	8
27	3	0
27	4	14
27	5	0
27	6	0
27	7	0
27	8	0
27	9	0
27	10	0
27	11	0
27	12	0
28	1	16
28	2	8
28	3	8
28	4	7
28	5	0
28	6	16
28	7	7,6
28	8	0
28	9	8,4
28	10	0
28	11	16
28	12	8
29	1	4
29	2	1
29	3	2
29	4	2
29	5	1
29	6	2
29	7	2
29	8	0
29	9	0
29	10	0
29	11	0
29	12	0
30	1	0
30	2	0
30	3	0
30	4	1
30	5	0
30	6	0
30	7	0
30	8	0
30	9	0
30	10	0
30	11	0
30	12	0
31	1	6
31	2	2
31	3	0
31	4	5
31	5	2
31	6	2
31	7	0
31	8	3
31	9	3
31	10	0
31	11	5
31	12	2
32	1	27
32	2	1
32	3	16
32	4	0
32	5	27,4
32	6	14,6
32	7	0
32	8	13
32	9	16
32	10	15
32	11	12
32	12	15
33	1	54
33	2	27
33	3	26
33	4	0
33	5	49
33	6	0
33	7	47
33	8	0
33	9	21
33	10	0
33	11	0
33	12	0
34	1	0
34	2	0
34	3	0
34	4	0
34	5	0
34	6	0
34	7	0
34	8	0
34	9	0
34	10	0
34	11	0
34	12	0
