F	t	RLft
F1	1	0
F1	2	48,2
F1	3	0
F1	4	0
F1	5	0
F1	6	85,9
F1	7	0
F1	8	41,2
F1	9	31,8
F1	10	28,7
F1	11	51,3
F1	12	38,8
F2	1	0
F2	2	0
F2	3	0
F2	4	0
F2	5	0
F2	6	0
F2	7	0
F2	8	0
F2	9	0
F2	10	0
F2	11	0
F2	12	0
F3	1	29
F3	2	0
F3	3	0
F3	4	127,8
F3	5	0
F3	6	0
F3	7	106,8
F3	8	0
F3	9	51,1
F3	10	52,3
F3	11	51,1
F3	12	5
F4	1	0
F4	2	74,5
F4	3	0
F4	4	31,8
F4	5	0
F4	6	0
F4	7	0
F4	8	0
F4	9	0
F4	10	0
F4	11	0
F4	12	0
F5	1	0
F5	2	0
F5	3	59,8
F5	4	0
F5	5	0
F5	6	65,4
F5	7	0
F5	8	0
F5	9	48
F5	10	0
F5	11	53,1
F5	12	31
F6	1	45,5
F6	2	0
F6	3	0
F6	4	0
F6	5	0
F6	6	0
F6	7	0
F6	8	0
F6	9	0
F6	10	0
F6	11	0
F6	12	0
F7	1	0
F7	2	0
F7	3	0
F7	4	19
F7	5	0
F7	6	0
F7	7	31,5
F7	8	0
F7	9	19,6
F7	10	19,6
F7	11	21,6
F7	12	20,6
F8	1	35,4
F8	2	0
F8	3	58,5
F8	4	141,4
F8	5	0
F8	6	92,8
F8	7	0
F8	8	44,5
F8	9	60,4
F8	10	0
F8	11	100,5
F8	12	49,5
F9	1	0
F9	2	0
F9	3	67
F9	4	0
F9	5	64,3
F9	6	75,9
F9	7	0
F9	8	44,3
F9	9	52,6
F9	10	49,5
F9	11	42,3
F9	12	49,5
F10	1	158,1
F10	2	197,2
F10	3	94,7
F10	4	0
F10	5	255,7
F10	6	0
F10	7	181,7
F10	8	0
F10	9	56,5
F10	10	0
F10	11	0
F10	12	0
F11	1	52,1
F11	2	0
F11	3	0
F11	4	0
F11	5	0
F11	6	0
F11	7	0
F11	8	0
F11	9	0
F11	10	0
F11	11	0
F11	12	50,5
