F	i	t	d
F1	1	1	14
F1	1	2	15
F1	1	3	17
F1	1	4	14
F1	1	5	14
F1	1	6	14
F1	1	7	18
F1	1	8	15
F1	1	9	10
F1	1	10	16
F1	1	11	14
F1	1	12	14
F1	2	1	10
F1	2	2	11
F1	2	3	11
F1	2	4	11
F1	2	5	12
F1	2	6	15
F1	2	7	10
F1	2	8	12
F1	2	9	12
F1	2	10	11
F1	2	11	12
F1	2	12	12
F1	3	1	1
F1	3	2	1
F1	3	3	1
F1	3	4	1
F1	3	5	0
F1	3	6	1
F1	3	7	1
F1	3	8	1
F1	3	9	2
F1	3	10	1
F1	3	11	1
F1	3	12	1
F2	4	1	0
F2	4	2	1
F2	4	3	0
F2	4	4	0
F2	4	5	0
F2	4	6	0
F2	4	7	0
F2	4	8	0
F2	4	9	1
F2	4	10	0
F2	4	11	0
F2	4	12	0
F2	5	1	7
F2	5	2	8
F2	5	3	9
F2	5	4	8
F2	5	5	8
F2	5	6	8
F2	5	7	11
F2	5	8	5
F2	5	9	7
F2	5	10	7
F2	5	11	7
F2	5	12	7
F3	6	1	2
F3	6	2	2
F3	6	3	2
F3	6	4	1
F3	6	5	3
F3	6	6	2
F3	6	7	2
F3	6	8	3
F3	6	9	2
F3	6	10	2
F3	6	11	2
F3	6	12	2
F3	7	1	32
F3	7	2	33
F3	7	3	35
F3	7	4	34
F3	7	5	45
F3	7	6	40
F3	7	7	41
F3	7	8	45
F3	7	9	42
F3	7	10	43
F3	7	11	42
F3	7	12	41
F4	8	1	14
F4	8	2	15
F4	8	3	16
F4	8	4	14
F4	8	5	14
F4	8	6	14
F4	8	7	14
F4	8	8	15
F4	8	9	10
F4	8	10	14
F4	8	11	14
F4	8	12	14
F4	9	1	4
F4	9	2	3
F4	9	3	4
F4	9	4	2
F4	9	5	4
F4	9	6	3
F4	9	7	4
F4	9	8	3
F4	9	9	4
F4	9	10	4
F4	9	11	4
F4	9	12	4
F5	10	1	15
F5	10	2	16
F5	10	3	15
F5	10	4	15
F5	10	5	14
F5	10	6	15
F5	10	7	15
F5	10	8	15
F5	10	9	16
F5	10	10	15
F5	10	11	15
F5	10	12	15
F5	11	1	1
F5	11	2	0
F5	11	3	1
F5	11	4	1
F5	11	5	0
F5	11	6	1
F5	11	7	0
F5	11	8	1
F5	11	9	0
F5	11	10	1
F5	11	11	0
F5	11	12	1
F6	12	1	3
F6	12	2	2
F6	12	3	4
F6	12	4	3
F6	12	5	2
F6	12	6	4
F6	12	7	3
F6	12	8	4
F6	12	9	2
F6	12	10	4
F6	12	11	3
F6	12	12	5
F6	13	1	3
F6	13	2	3
F6	13	3	3
F6	13	4	3
F6	13	5	3
F6	13	6	3
F6	13	7	2
F6	13	8	3
F6	13	9	3
F6	13	10	3
F6	13	11	3
F6	13	12	3
F7	14	1	0
F7	14	2	0
F7	14	3	0
F7	14	4	0
F7	14	5	0
F7	14	6	0
F7	14	7	1
F7	14	8	0
F7	14	9	0
F7	14	10	0
F7	14	11	0
F7	14	12	0
F7	15	1	18
F7	15	2	19
F7	15	3	18
F7	15	4	18
F7	15	5	18
F7	15	6	17
F7	15	7	17
F7	15	8	22
F7	15	9	19
F7	15	10	19
F7	15	11	21
F7	15	12	20
F8	16	1	5
F8	16	2	4
F8	16	3	5
F8	16	4	4
F8	16	5	3
F8	16	6	4
F8	16	7	5
F8	16	8	5
F8	16	9	5
F8	16	10	5
F8	16	11	4
F8	16	12	4
F8	17	1	48
F8	17	2	50
F8	17	3	48
F8	17	4	48
F8	17	5	34
F8	17	6	36
F8	17	7	35
F8	17	8	35
F8	17	9	35
F8	17	10	35
F8	17	11	35
F8	17	12	33
F9	18	1	25
F9	18	2	30
F9	18	3	25
F9	18	4	24
F9	18	5	31
F9	18	6	25
F9	18	7	25
F9	18	8	26
F9	18	9	31
F9	18	10	29
F9	18	11	24
F9	18	12	29
F9	19	1	3
F9	19	2	5
F9	19	3	6
F9	19	4	3
F9	19	5	5
F9	19	6	4
F9	19	7	5
F9	19	8	4
F9	19	9	4
F9	19	10	4
F9	19	11	5
F9	19	12	4
F10	20	1	58
F10	20	2	54
F10	20	3	52
F10	20	4	50
F10	20	5	50
F10	20	6	48
F10	20	7	48
F10	20	8	45
F10	20	9	42
F10	20	10	44
F10	20	11	44
F10	20	12	42
F10	21	1	26
F10	21	2	24
F10	21	3	23
F10	21	4	23
F10	21	5	22
F10	21	6	24
F10	21	7	23
F10	21	8	24
F10	21	9	23
F10	21	10	22
F10	21	11	25
F10	21	12	23
F11	22	1	5
F11	22	2	4
F11	22	3	4
F11	22	4	4
F11	22	5	4
F11	22	6	4
F11	22	7	4
F11	22	8	4
F11	22	9	4
F11	22	10	4
F11	22	11	4
F11	22	12	4
F11	23	1	5
F11	23	2	6
F11	23	3	2
F11	23	4	2
F11	23	5	1
F11	23	6	3
F11	23	7	4
F11	23	8	4
F11	23	9	4
F11	23	10	2
F11	23	11	4
F11	23	12	3
