F	I	II0	IIi	hi	vi	miui
F1	1	110	15	0,25	0,88	4,4
F1	2	16	12	0,25	0,88	4,4
F1	3	35	1	0,25	0,88	4,4
F2	4	25	1	0,25	0,88	4,4
F2	5	55	8	0,25	0,88	4,4
F3	6	0	3	0,25	0,88	4,4
F3	7	100	40	0,25	0,88	4,4
F4	8	30	14	0,22	0,78	3,9
F4	9	65	4	0,22	0,78	3,9
F5	10	65	16	0,24	0,86	4,3
F5	11	8	1	0,24	0,86	4,3
F6	12	0	4	0,24	0,86	4,3
F6	13	42	3	0,24	0,86	4,3
F7	14	0	1	0,24	0,84	4,2
F7	15	100	19	0,22	0,8	4
F8	16	6	5	0,24	0,84	4,2
F8	17	85	41	0,24	0,84	4,2
F9	18	92	27	0,22	0,8	4
F9	19	18	5	0,22	0,8	4
F10	20	6	49	0,26	0,92	4,6
F10	21	110	24	0,26	0,92	4,6
F11	22	0	5	0,25	0,9	4,5
F11	23	15	4	0,25	0,9	4,5
